# x_m, y_m, w_tr_right_m, w_tr_left_m
0.33807799999999943,2.7369360000000005,0.4,0.4
1.172298,2.3906560000000003,0.5,0.5
1.2746079999999993,1.5170860000000004,0.4,0.4
0.9676779999999998,0.6435160000000004,0.5,0.5
0.6213979999999997,-0.23005399999999998,0.5,0.5
0.8181479999999994,-1.103624,0.5,0.5
1.6917179999999994,-1.449904,0.5,0.5
2.5574179999999997,-1.898494,0.5,0.5
2.4078879999999994,-2.709104,0.4,0.4
1.5343179999999994,-2.779934,0.5,0.5
0.6607479999999994,-2.646144,0.4,0.4
-0.2128220000000005,-2.465134,0.5,0.5
-1.0549120000000005,-1.977194,0.5,0.5
-1.2595320000000005,-1.103624,0.4,0.4
-1.2674020000000004,-0.23005399999999998,0.5,0.5
-1.1729620000000005,0.6435160000000004,0.5,0.5
-1.0391720000000004,1.5170860000000004,0.4,0.4
-0.5905820000000004,2.3906560000000003,0.5,0.5
0.27511799999999953,2.729066,0.4,0.4

